number	title	打出条件	占格大小	靠山数量	靠水数量	可否爬行馆	可否鸟馆	爬行馆占几格	鸟馆占几格
437	MUSKOX	美洲图标≥1	4	0	0	否	否		
438	REINDEER	-	3	0	0	否	否		
439	LAMA	-	2	0	0	否	否		
440	MOUNTAIN TAPIR	-	2	1	0	否	否		
441	EUROPEAN BISON	有相应合作动物园	5	0	0	否	否		
442	MOOSE	食草动物图标≥2	4	0	0	否	否		
443	RED DEER	-	3	0	0	否	否		
444	ALPINE IBEX	-	2	2	0	否	否		
445	CRESTED PORCUPINE	-	1	0	0	否	否		
446	DUGONG	Animals 已升级≥1	5	0	2	否	否		
447	RED KANGAROO	-	4	0	0	否	否		
448	KOALA	澳洲图标≥1	3	1	0	否	否		
449	PLATYPUS	-	2	0	1	否	否		
450	COMMON WOMBAT	-	2	0	0	否	否		
451	PROBOSCIS MONKEY	Animals 已升级≥1；灵长类图标≥2	5	1	0	否	否		
452	SENEGAL BUSHBABY	非洲图标≥2	1	0	0	否	否		
453	COLLARED MANGABEY	非洲图标≥1	4	0	0	否	否		
454	RING-TAILED LEMUR	-	3	1	0	否	否		
455	MANTLED GUEREZA	-	3	0	0	否	否		
456	BARBARY MACAQUE	有相应合作动物园	2	0	0	否	否		
457	MANDRILL	灵长类图标≥3	5	0	0	否	否		
458	JAPANESE MACAQUE	亚洲图标≥1	3	0	1	否	否		
459	RED-SHANKED DOUC	科学图标≥1	4	0	0	否	否		
460	DUSKY-LEAF MONKEY	-	2	0	0	否	否		
461	HORSFIELD'S TARSIER	有相应合作动物园	1	0	0	否	否		
462	NORTHERN PLAINS GRAY LANGUR	-	3	1	0	否	否		
463	PANAMANIAN WHITE-FACED CAPUCHIN	有相应合作动物园	2	0	0	否	否		
464	BROWN SPIDER MONKEY	灵长类图标≥1	4	0	0	否	否		
465	GOLDEN LION TAMARIN	-	1	0	0	否	否		
466	BOLIVIAN RED HOWLER	-	3	0	0	否	否		
467	ECUADORIAN SQUIRELL MONKEY	-	2	0	0	否	否		
468	COTTON-TOP TAMARIN	科学图标≥2	1	0	0	否	否		
469	NILE CROCODILE	爬行动物图标≥3	5	0	1	是	否	3	
470	WESTERN GREEN MAMBA	非洲图标≥1；爬行动物图标≥1	2	0	0	是	否	1	
471	AFRICAN SPURRED TORTOISE	-	3	0	0	是	否	2	
472	ROCK MONITOR	-	2	1	0	是	否	1	
473	COMMON AGAMA	-	1	0	0	是	否	0	
474	INDIAN ROCK PYTHON	爬行动物图标≥2	2	0	0	是	否	1	
475	KING COBRA	Animals 已升级≥1；科学图标≥2	2	0	0	是	否	1	
476	KOMODO DRAGON	亚洲图标≥2	3	0	0	是	否	2	
477	VEILED CHAMELEON	-	1	0	0	是	否	0	
478	CHINESE WATER DRAGON	-	1	0	1	是	否	0	
479	AMERICAN ALLIGATOR	-	4	0	1	是	否	2	
480	BROAD-SNOUTED CAIMAN	-	4	0	1	是	否	2	
481	GALAPAGOS GIANT TORTOISE	美洲图标≥2；Animals 已升级≥1	3	0	0	是	否	2	
482	ANACONDA	有相应合作动物园	2	0	0	是	否	1	
483	BOA CONSTRICTOR	科学图标≥2	2	0	0	是	否	1	
484	EUROPEAN POND TURTLE	-	1	0	1	是	否	1	
485	COMMON EUROPEAN ADDER	有相应合作动物园	1	0	0	是	否	0	
486	COMMON WALL LIZARD	-	1	1	0	是	否	0	
487	EUROPEAN GRASS SNAKE	-	1	0	1	是	否	0	
488	SLOW WORM	-	1	0	1	是	否	0	
489	SALTWATER CROCODILE	有相应合作动物园	5	0	1	是	否	3	
490	GOULD'S MONITOR	-	3	0	0	是	否	2	
491	FRILLED LIZARD	-	2	1	0	是	否	1	
492	INLAND TAIPAN	澳洲图标≥1；科学图标≥1	2	1	0	是	否	1	
493	THORNY DEVIL	-	1	1	0	是	否	0	
494	AFRICAN OSTRICH	-	5	0	0	否	是		4
495	SECRETARY BIRD	-	4	0	0	否	是		1
496	MARABOU	-	3	0	0	否	是		1
497	LESSER FLAMINGO	-	2	0	1	否	否		
498	SHOEBILL	科学图标≥2	1	0	0	否	是		1
499	CINEREOUS VULTURE	-	5	0	0	否	是		1
500	LONG-BILLED VULTURE	科学图标≥1	4	1	0	否	是		1
501	INDIAN PEAFOWL	亚洲图标≥1	3	0	0	否	否		
502	GREAT HORNBILL	-	2	0	0	否	否		
503	SNOWY OWL	鸟类图标≥2	1	0	0	否	否		
504	ANDEAN CONDOR	鸟类图标≥1	5	1	0	否	是		1
505	BALD EAGLE	Animals 已升级≥1	4	0	1	否	是		1
506	KING VULTURE	鸟类图标≥3	3	0	0	否	是		1
507	GREATER RHEA	-	2	0	0	否	否		
508	SCARLET MACAW	有相应合作动物园	1	0	0	否	否		
509	GOLDEN EAGLE	Animals 已升级≥1	5	1	0	否	是		1
510	WHITE STORK	欧洲图标≥1	4	0	0	否	是		1
511	GREATER FLAMINGO	-	3	0	1	否	否		
512	EURASIAN EAGLE-OWL	有相应合作动物园	2	0	0	否	否		
513	BARN OWL	-	1	0	0	否	否		
514	EMU	澳洲图标≥2	5	0	0	否	是		0
515	AUSTRALIAN PELICAN	-	4	0	2	否	否		
516	NORTHERN CASSOWARY	有相应合作动物园	3	0	0	否	否		
517	LAUGHING KOOKABURRA	澳洲图标≥1	2	0	0	否	否		
518	LESSER BIRD-OF-PARADISE	-	1	0	0	否	否		
519	(DOMESTIC) GOAT	-	1	0	0	否	否		
520	SHEEP	-	1	0	0	否	否		
521	HORSE	-	1	0	0	否	否		
522	DONKEY	-	1	0	0	否	否		
523	DOMESTIC RABBIT	-	1	0	0	否	否		
524	MANGALICA	-	1	0	0	否	否		
525	GUINEA PIG	-	1	0	0	否	否		
526	ALPACA	-	1	0	0	否	否		
527	COCONUT LORIKEET	-	1	0	0	否	否		
528	BENNETT'S WALLABY	-	1	0	0	否	否		
